mjd,mag,mag_err,UL,filter,detected
59060.307293,19.3226,inf,True,orange,0
59062.298878,19.8043,inf,True,orange,0
59064.2876,19.4637,inf,True,orange,0
59068.328599,19.617,inf,True,orange,0
59070.272074,20.1301,inf,True,orange,0
59072.268791,20.0871,inf,True,cyan,0
59074.316782,19.9292,inf,True,orange,0
59076.263672,20.4165,inf,True,cyan,0
59078.250491,20.0572,inf,True,orange,0
59080.167968,20.4385,inf,True,r,0
59080.248786,19.909,inf,True,cyan,0
59080.300781,19.8555,inf,True,r,0
59081.175781,20.6054,inf,True,r,0
59081.214843,20.4357,inf,True,g,0
59081.246093,20.04,inf,True,g,0
59082.257812,20.0535,inf,True,r,0
59082.282257,20.1038,inf,True,orange,0
59084.171875,20.4874,inf,True,g,0
59084.199218,20.4703,inf,True,r,0
59084.24736,19.7709,inf,True,orange,0
59085.175781,20.0081,inf,True,r,0
59085.25,20.5832,inf,True,g,0
59085.261718,20.4607,inf,True,g,0
59086.164062,20.7315,inf,True,r,0
59086.1875,20.5127,inf,True,r,0
59086.195312,20.5449,inf,True,g,0
59086.24743,19.6422,inf,True,orange,0
59086.285156,19.7521,inf,True,g,0
59087.15625,20.5219,inf,True,r,0
59087.183593,20.2191,inf,True,g,0
59087.257812,19.6063,inf,True,r,0
59088.164062,20.172,inf,True,r,0
59088.179687,20.1267,inf,True,r,0
59088.243768,19.9474,inf,True,orange,0
59088.261718,19.1873,inf,True,g,0
59089.140625,20.0671,inf,True,r,0
59089.242187,19.1219,inf,True,g,0
59090.160156,20.36,inf,True,r,0
59090.238281,19.7005,inf,True,g,0
59090.244969,19.8953,inf,True,orange,0
59090.25,19.5409,inf,True,g,0
59091.207031,20.1325,inf,True,r,0
59091.214843,20.001,inf,True,g,0
59091.25,19.5689,inf,True,g,0
59092.21875,20.2304,inf,True,r,0
59092.230468,20.0853,inf,True,r,0
59092.253906,19.5992,inf,True,g,0
59092.265186,20.0536,inf,True,orange,0
59093.136718,20.3496,inf,True,r,0
59093.15625,20.089,inf,True,g,0
59093.164062,19.9226,inf,True,g,0
59093.203125,19.8211,inf,True,r,0
59093.207031,19.9082,inf,True,r,0
59094.160156,20.2535,inf,True,r,0
59094.160156,20.296,inf,True,r,0
59094.183593,19.5142,inf,True,g,0
59094.1875,19.5551,inf,True,g,0
59095.164062,20.2195,inf,True,r,0
59095.164062,20.231,inf,True,r,0
59095.183593,19.7877,inf,True,g,0
59095.183593,20.5036,0.1665,False,g,1
59096.235294,19.7406,inf,True,orange,0
59097.207031,19.7275,inf,True,g,0
59098.234514,19.8633,inf,True,orange,0
59100.238499,20.222,inf,True,cyan,0
59104.239606,18.6199,0.0962,False,cyan,1
59106.231204,18.3784,0.0587,False,orange,1
59108.248881,17.777,0.0252,False,cyan,1
59109.15625,18.0196,0.0927,False,r,1
59111.117187,17.4995,0.0528,False,g,1
59111.15625,17.4487,0.055,False,g,1
59111.222656,17.7838,0.0799,False,r,1
59116.408,21.4456,inf,True,g,0
59122.219401,16.5421,0.0196,False,orange,1
59125.072259,16.4261,0.1044,False,g,1
59126.08255,16.1899,0.0523,False,g,1
59127.085465,16.1641,0.0486,False,g,1
59128.152343,16.1251,0.0346,False,g,1
59129.069,15.9648,0.0636,False,g,1
59130.125,16.3719,0.0502,False,r,1
59130.164062,16.1102,0.0166,False,g,1
59130.218142,16.3182,0.0154,False,orange,1
59131.076345,16.0413,0.0447,False,g,1
59139.913259,16.2956,0.0139,False,g,1
59139.98728,16.2856,0.0139,False,g,1
59185.64819,18.8956,0.0305,False,g,1
59202.507812,19.6734,inf,True,g,0
59202.550781,19.1615,0.1083,False,r,1
59204.515625,19.0826,0.0683,False,r,1
59204.53125,18.882,0.214,False,i,1
59206.651358,19.5098,0.1559,False,cyan,1
59212.895089,19.1356,0.0338,False,g,1
59214.632626,18.9259,0.1591,False,orange,1
59216.615088,19.1001,0.1613,False,orange,1
59217.496093,19.2774,0.1056,False,r,1
59217.550781,19.8155,inf,True,g,0
59218.554687,18.9777,0.1206,False,i,1
59219.492187,19.2366,0.1107,False,r,1
59219.539062,19.7375,inf,True,g,0
59221.515625,20.4199,inf,True,g,0
59222.653664,19.0475,0.1477,False,orange,1
59224.496093,19.1808,0.0829,False,r,1
59224.511718,19.3831,0.0892,False,r,1
59224.546875,20.1228,inf,True,g,0
59224.546875,21.1294,0.3814,False,g,1
59226.472656,18.989,0.1142,False,i,1
59226.656512,19.5665,0.1656,False,cyan,1
59227.476562,20.7027,0.1093,False,g,1
59227.546875,19.3533,0.1014,False,r,1
59228.658586,19.5877,0.1827,False,cyan,1
59230.496093,20.7885,0.1235,False,g,1
59230.515625,19.1766,0.1233,False,i,1
59230.535156,19.2531,0.1024,False,r,1
59230.647299,19.7346,0.1827,False,cyan,1
59231.535156,19.2966,0.0959,False,r,1
59231.554687,20.8713,0.1066,False,g,1
59232.515625,19.322,0.107,False,r,1
59232.53125,20.7877,inf,True,g,0
59238.612827,19.6475,0.1488,False,cyan,1
59242.63358,19.3656,0.0374,False,g,1
59242.655913,19.0761,0.1804,False,orange,1
59244.636685,19.4774,0.2607,False,orange,1
59246.629521,19.1564,0.1664,False,orange,1
59248.492187,20.3794,inf,True,g,0
59248.527343,19.2085,0.0807,False,r,1
59249.476562,18.9233,0.1319,False,i,1
59250.488281,20.7706,0.1096,False,g,1
59250.53125,19.1819,0.092,False,r,1
59252.414062,19.0141,0.1643,False,i,1
59252.515625,19.4766,0.3087,False,r,1
59252.539062,20.2102,0.3178,False,g,1
59252.652257,19.2104,0.1873,False,orange,1
59254.641736,19.6831,0.1721,False,cyan,1
59255.515625,18.9082,0.2419,False,i,1
59256.453125,19.1775,0.0843,False,r,1
59256.519531,20.2136,0.0992,False,g,1
59256.572297,19.7641,0.1783,False,cyan,1
59258.624129,19.6062,0.1524,False,cyan,1
59262.54399,19.6052,0.1475,False,cyan,1
59264.390625,19.3389,0.1244,False,i,1
59264.492187,20.4096,0.0992,False,g,1
59264.527343,19.3301,0.0895,False,r,1
59266.390625,19.5203,0.1246,False,r,1
59267.34375,19.1017,0.1123,False,i,1
59268.511718,20.1983,0.1328,False,g,1
59269.516905,19.4499,0.2358,False,orange,1
59270.4375,20.2432,0.1934,False,g,1
59270.472656,19.317,0.1405,False,i,1
59270.484375,19.4532,0.1028,False,r,1
59270.540888,19.376,0.2517,False,orange,1
59272.429687,19.3851,inf,True,g,0
59272.46875,19.5476,0.0446,False,r,1
59274.402343,19.5509,0.2159,False,r,1
59274.453125,19.658,inf,True,g,0
59275.429687,19.6272,0.1503,False,r,1
59275.457031,20.2576,inf,True,g,0
59276.414062,19.5193,0.184,False,r,1
59276.414062,19.8159,0.1223,False,r,1
59276.453125,20.6806,0.1899,False,g,1
59276.646828,19.6947,0.2749,False,orange,1
59278.589551,18.9764,inf,True,orange,0
59279.17203,19.8756,0.0471,False,g,1
59280.414062,20.4691,0.2799,False,g,1
59280.449218,19.6477,0.1039,False,r,1
59288.56574,19.909,inf,True,cyan,0
59290.457031,19.8968,0.2737,False,i,1
59291.390625,19.9062,0.0994,False,r,1
59291.496093,20.9234,0.3222,False,g,1
59292.441368,20.4517,0.2384,False,cyan,1
59292.457031,22.0639,0.2738,False,g,1
59292.472656,19.9916,0.2398,False,r,1
59294.561018,19.4956,inf,True,orange,0
59295.324218,19.8939,inf,True,g,0
59295.371093,20.0167,0.1366,False,i,1
59295.410156,20.0644,0.1916,False,r,1
59296.3505,19.7856,0.0452,False,g,1
59297.347656,19.7073,inf,True,g,0
59297.410156,20.2206,0.1,False,r,1
59298.546376,19.5079,inf,True,orange,0
59300.386718,19.5184,inf,True,g,0
59300.386718,19.6173,inf,True,g,0
59300.429687,19.7699,inf,True,r,0
59300.429687,19.8603,0.1966,False,r,1
59301.386718,19.7696,inf,True,r,0
